LocalAuthority,IndicatorCode,Year,LA_IndicatorCash,LA_NumeratorCash,LA_DenominatorCash,Scotland_IndicatorCash,Scotland_NumeratorCash,Scotland_DenominatorCash,IndicatorCash_FG,NumeratorCash_FG,DenominatorCash_FG,FamilyGroup
Fife,ECON04,2010-11,0.224280825,,,0.272334594,,,0.230476024,,,2
Fife,ECON04,2011-12,0.233916065,,,0.261506826,,,0.215086764,,,2
Fife,ECON04,2012-13,0.18782645,,,0.272438951,,,0.23012451,,,2
Fife,ECON04,2013-14,0.184690795,,,0.269457162,,,0.227706169,,,2
Fife,ECON04,2014-15,0.265271643,,,0.275349462,,,0.226918104,,,2
Fife,ECON04,2015-16,0.241316387,,,0.254382423,,,0.225418892,,,2
Fife,ECON04,2016-17,0.280991322,,,0.264760425,,,0.21099041,,,2
Fife,ECON04,2017-18,0.372331164,,,0.2739747,,,0.229840942,,,2
Fife,ECON04,2018-19,0.35500866,,,0.287148443,,,0.223180763,,,2
Fife,ECON04,2019-20,0.31900459,,,0.285136637,,,0.217858576,,,2
Fife,ECON04,2020-21,0.371496081,,,0.29113044,,,0.237510917,,,2
Fife,ECON04,2021-22,0.4017,,,0.2988,,,0.247475,,,2
Fife,ECON06,2010-11,32842.04,11988,365020,83269.76,434843,5222100,47731.02875,6575.125,144341.25,2
Fife,ECON06,2011-12,34893.98,12819,367370,75618.48,397360,5254800,44548.9425,6210.125,144997.5,2
Fife,ECON06,2012-13,33376.11,12223,366220,72449.94,384970,5313600,44962.8375,6459,146491.25,2
Fife,ECON06,2013-14,37109.92,13616,366910,72046.66,383843,5327700,56662.67625,7641.125,146730,2
Fife,ECON06,2014-15,37803.47,13883.703,367260,69106.09,369551.703,5347600,48861.24875,7033.587875,146953.75,2
Fife,ECON06,2015-16,47231.58,17385,368080,63847.01,343050,5373000,53652.69375,7943.625,147498.75,2
Fife,ECON06,2016-17,40890.56,15143,370330,80934.93,437429,5404700,62053.59125,8632.75,148185,2
Fife,ECON06,2017-18,44444.15,16507,371410,92756.05,503183,5424800,70948.0825,9932,148442.5,2
Fife,ECON06,2018-19,42623.22,15852,371910,107536.82,584796,5438100,59552.17875,8616.625,148563.75,2
Fife,ECON06,2019-20,68419.22,25558,373550,103389.84,564849.7291,5463300,63824.05125,9838.625,148997.5,2
Fife,ECON06,2020-21,89361.99,33433,374130,88581.78,484188,5466000,75314.58625,11822.125,148965,2
Fife,ECON06,2021-22,83083.82,31134,374730,119241.41,653431,5479900,90600.025,13728.25,149586.25,2
Fife,ECON07,2012-13,0.218,,,0.188,,,0.225125,,,3
Fife,ECON07,2013-14,0.212,,,0.186,,,0.219875,,,3
Fife,ECON07,2014-15,0.239,,,0.193,,,0.226,,,3
Fife,ECON07,2015-16,0.234,,,0.196,,,0.2265,,,3
Fife,ECON07,2016-17,0.218,,,0.201,,,0.23,,,3
Fife,ECON07,2017-18,0.23,,,0.184,,,0.21175,,,3
Fife,ECON07,2018-19,0.208,,,0.194,,,0.227625,,,3
Fife,ECON07,2019-20,0.19,,,0.169,,,0.2030125,,,3
Fife,ECON07,2020-21,0.153,,,0.152,,,0.175571429,,,3
Fife,ECON07,2021-22,0.17,,,0.144,,,0.181285714,,,3
Fife,ECON08,2013-14,0.61,,,0.56079284,,,0.49375,,,2
Fife,ECON08,2014-15,0.74,,,0.674970924,,,0.64875,,,2
Fife,ECON08,2015-16,0.88,,,0.786156843,,,0.6875,,,2
Fife,ECON08,2016-17,0.92,,,0.858627723,,,0.86,,,2
Fife,ECON08,2017-18,0.9453,,,0.911307472,,,0.8911,,,2
Fife,ECON08,2018-19,0.95,,,0.920130019,,,0.89775,,,2
Fife,ECON08,2019-20,0.956,,,0.932949566,,,0.914,,,2
Fife,ECON08,2020-21,0.961,,,0.937888787,,,0.9205,,,2
Fife,ECON08,2021-22,0.962,,,0.941,,,0.9235,,,2
Fife,ECON08,2022-23,0.975076896,,,0.955215506,,,0.941258969,,,2
Fife,ECON09,2014-15,0.1508,,,0.101,,,0.114425,,,3
Fife,ECON09,2015-16,0.1473,,,0.1189,,,0.1124,,,3
Fife,ECON09,2016-17,0.1542,,,0.1019,,,0.12725,,,3
Fife,ECON09,2017-18,0.1459,,,0.1149,,,0.125128571,,,3
Fife,ECON09,2018-19,0.1763,,,0.1,,,0.13125,,,3
Fife,ECON09,2019-20,0.1862,,,0.1171,,,0.1249875,,,3
Fife,ECON09,2020-21,0.198586118,,,0.124117566,,,0.131759697,,,3
Fife,ECON09,2021-22,0.20740268,,,0.114019905,,,0.153225368,,,3
Fife,ECON10,2014-15,0.12388136,,,0.1293969,,,0.173186333,,,2
Fife,ECON10,2015-16,0.084283431,,,0.271933402,,,0.314188443,,,2
Fife,ECON10,2016-17,0.233140327,,,0.384337419,,,0.305213638,,,2
Fife,ECON10,2017-18,0.23850912,,,0.407797174,,,0.340884834,,,2
Fife,ECON10,2018-19,0.045654856,,,0.375514549,,,0.321125989,,,2
Fife,ECON10,2019-20,0.045654856,,,0.362326005,,,0.312206172,,,2
Fife,ECON10,2020-21,0.056509985,,,0.389143906,,,0.329455946,,,2
Fife,ECON10,2021-22,0.033097345,,,0.271872443,,,0.170565625,,,2
Fife,ECON11,2010-11,17922.83721,,,24581.16377,,,20127.47355,,,2
Fife,ECON11,2011-12,17840.1314,,,24661.40871,,,20064.74987,,,2
Fife,ECON11,2012-13,18022.44614,,,24840.9741,,,19967.94055,,,2
Fife,ECON11,2013-14,18569.0924,,,25411.90382,,,20557.5614,,,2
Fife,ECON11,2014-15,19055.13955,,,26128.35665,,,20738.66706,,,2
Fife,ECON11,2015-16,19319.16975,,,26345.61697,,,20883.08658,,,2
Fife,ECON11,2016-17,19704.04774,,,26304.88279,,,20896.16629,,,2
Fife,ECON11,2017-18,19786.75857,,,26941.82274,,,21516.01585,,,2
Fife,ECON11,2018-19,19641.84883,,,26963.09373,,,21214.23195,,,2
Fife,ECON11,2019-20,19906.30438,,,27124.63163,,,21345.72979,,,2
Fife,ECON11,2020-21,17972.36255,,,23944.56641,,,19083.86777,,,2
Fife,ECON11,2021-22,19448.66971,,,25757.58682,,,20529.16742,,,2
Fife,ENV01a,2012-13,63.57,11104,174675,59.12,152202,2574425,63.2025,4414.125,70603.75,2
Fife,ENV01a,2013-14,60.73,10571,174067,61.32,159924,2608182,64.5175,4443.125,70599.5,2
Fife,ENV01a,2014-15,55.44,9725,175411,64.84,169023,2606930,67.95625,4564.125,71022.875,2
Fife,ENV01a,2015-16,55.38,9824,177402,64.24,168546,2623801,67.0325,4572.375,71789.625,2
Fife,ENV01a,2016-17,42.31,7535,178071,64.54,170357,2639525,68.13125,4430,72138.875,2
Fife,ENV01a,2017-18,50.28,9023,179470,65.97,175081,2653856,65.8125,4471.875,72460.5,2
Fife,ENV01a,2018-19,51.01,9200,180366,67.21,180047,2678935,67.0225,4548.5,73163.125,2
Fife,ENV01a,2019-20,49.33,9001,182483,68.87,186006.6745,2700904,67.7225,4614.25,73794.125,2
Fife,ENV01a,2020-21,46.97,8615,183427,72.35,196885,2721266,71.77,4874.75,74482.375,2
Fife,ENV01a,2021-22,55,10183,185132,70.15,192194,2739709,71.80125,5039.75,74884.875,2
Fife,ENV02a,2012-13,76.82,13418,174675,92.29,237603,2574425,82.5775,5737.5,70603.75,2
Fife,ENV02a,2013-14,76.24,13271,174067,92.17,240395,2608182,79.44625,5617.25,70599.5,2
Fife,ENV02a,2014-15,77.61,13613,175411,91.21,237777,2606930,81.55,5846.375,71022.875,2
Fife,ENV02a,2015-16,72.12,12795,177402,97.44,255652,2623801,82.44875,5862.5,71789.625,2
Fife,ENV02a,2016-17,82.85,14753,178071,98.77,260698,2639525,84.3425,6112.25,72138.875,2
Fife,ENV02a,2017-18,71.6,12850,179470,101.39,269085,2653856,84.77375,5964,72460.5,2
Fife,ENV02a,2018-19,80.42,14505,180366,97.37,260860,2678935,88.935,6402.375,73163.125,2
Fife,ENV02a,2019-20,78.48,14322,182483,99.18,267863.7129,2700904,86.77875,6315.875,73794.125,2
Fife,ENV02a,2020-21,85.52,15687,183427,105.88,288141,2721266,92.12,6737.25,74482.375,2
Fife,ENV02a,2021-22,87.1,16125,185132,100.37,274973,2739709,90.4025,6729.375,74884.875,2
Fife,ENV03a,2010-11,15744.34,5747,365020,19851.78,103668,5222100,15578.6275,2944.625,185346.25,3
Fife,ENV03a,2011-12,16569.13,6087,367370,19379.76,101836.779,5254800,15561.2825,2909.875,186055,3
Fife,ENV03a,2012-13,16976.13,6217,366220,17534.06,93169,5313600,16332.8325,3118.375,187837.5,3
Fife,ENV03a,2013-14,18271.51,6704,366910,16241.91,86532,5327700,14902.95875,2923.5,187917.5,3
Fife,ENV03a,2014-15,16917.17,6213,367260,15816.44,84580,5347600,14143.39375,2803.875,188160,3
Fife,ENV03a,2015-16,18064.01,6649,368080,15443.89,82980,5373000,13395.275,2717.375,188663.75,3
Fife,ENV03a,2016-17,10633.76,3938,370330,14489.43,78311,5404700,12070.48625,2297.625,189526.25,3
Fife,ENV03a,2017-18,10513.99,3905,371410,15451.81,83823,5424800,11652.2625,2257.625,190147.5,3
Fife,ENV03a,2018-19,8668.76,3224,371910,14840.48,80704,5438100,10715.2425,2144.5,190492.5,3
Fife,ENV03a,2019-20,7733.9,2889,373550,14984.33,81863.8754,5463300,10817.33625,2133.75,191272.5,3
Fife,ENV03a,2020-21,12046.61,4507,374130,14492.32,79215,5466000,11606.505,2308.5,191305,3
Fife,ENV03a,2021-22,14554.48,5454,374730,14747.17,80813,5479900,13017.3,2569,192045,3
Fife,ENV03c,2010-11,0.97,,,0.954,,,0.95775,,,3
Fife,ENV03c,2011-12,0.972,,,0.961,,,0.960875,,,3
Fife,ENV03c,2012-13,0.989,,,0.958,,,0.955125,,,3
Fife,ENV03c,2013-14,0.977,,,0.9608,,,0.952625,,,3
Fife,ENV03c,2014-15,0.984863774,,,0.939,,,0.946970435,,,3
Fife,ENV03c,2015-16,0.979,,,0.934,,,0.95,,,3
Fife,ENV03c,2016-17,0.960591133,,,0.939,,,0.944360026,,,3
Fife,ENV03c,2017-18,0.950772201,,,0.922,,,0.935927776,,,3
Fife,ENV03c,2018-19,0.948,,,0.928,,,0.93125,,,3
Fife,ENV03c,2019-20,0.922310757,,,0.922494213,,,0.92881115,,,3
Fife,ENV03c,2020-21,0.943231441,,,0.901002852,,,0.913243808,,,3
Fife,ENV03c,2021-22,0.881,,,0.897,,,0.903625,,,3
Fife,ENV03c,2022-23,0.956,,,0.906,,,0.92125,,,3
Fife,ENV04a,2010-11,15624.21,37045,2371,11092.53,578043,52111,10399.64375,15019.75,1454.5,2
Fife,ENV04a,2011-12,15012.2,35684,2377,10254.12,535652,52237.724,10643.9,15171.5,1457.125,2
Fife,ENV04a,2012-13,17101.41,40845,2388.4,9942.17,520429,52345.59,10699.9525,15708.75,1461.7625,2
Fife,ENV04a,2013-14,15599.22,37691,2416.21,9813.83,515817,52560.2,9447.39125,14295.125,1476.89125,2
Fife,ENV04a,2014-15,14901.62,36147.461,2425.74,9847.7,518067.461,52607.989,9671.47625,14503.93263,1481.47625,2
Fife,ENV04a,2015-16,11599.25,28132,2425.33,10222.01,540748,52900.336,9597.41125,13947.875,1481.92375,2
Fife,ENV04a,2016-17,11230.58,27366,2436.74,10338.35,547812,52988.34,9740.53125,14600,1473.37625,2
Fife,ENV04a,2017-18,11690.15,28594,2445.99,10094.28,534732,52973.75,10266.46125,16131.25,1477.52375,2
Fife,ENV04a,2018-19,10246.73,25196,2458.93,9919.31,530897,53521.55,9797.0475,15121.625,1538.17,2
Fife,ENV04a,2019-20,10395.62,25638,2466.23,9761.78,524082.0945,53687.14,9109.77375,14026.625,1539.89125,2
Fife,ENV04a,2020-21,8690.03,21445,2467.77,9378.69,503835,53721.28,8292.0175,12321.25,1541.56625,2
Fife,ENV04a,2021-22,11187.44,27589,2466.07,11086.9,596640,53814.842,10258.21,16204.75,1544.2065,2
Fife,ENV04b,2009-11,0.368393352,,,0.303,,,0.347604269,,,2
Fife,ENV04b,2010-12,0.358,,,0.305,,,0.334934916,,,2
Fife,ENV04b,2011-13,0.339,,,0.294,,,0.3155,,,2
Fife,ENV04b,2012-14,0.313,,,0.287,,,0.309575,,,2
Fife,ENV04b,2013-15,0.296298245,,,0.2903,,,0.314020801,,,2
Fife,ENV04b,2014-16,0.26758428,,,0.2895,,,0.31522441,,,2
Fife,ENV04b,2015-17,0.274099307,,,0.295360469,,,0.308616366,,,2
Fife,ENV04b,2016-18,0.299121411,,,0.301582834,,,0.309668745,,,2
Fife,ENV04b,2017-19,0.307478695,,,0.30026555,,,0.314152193,,,2
Fife,ENV04b,2018-20,0.317328835,,,0.305720104,,,0.323262696,,,2
Fife,ENV04b,2019-21,0.306,,,0.298,,,0.31025,,,2
Fife,ENV04b,2020-22,0.292382432,,,0.275982195,,,0.275054116,,,2
Fife,ENV04b,2021-23,0.298573844,,,0.274254026,,,0.268285612,,,2
Fife,ENV04c,2009-11,0.367152571,,,0.358,,,0.39188485,,,2
Fife,ENV04c,2010-12,0.338,,,0.363,,,0.374683388,,,2
Fife,ENV04c,2011-13,0.313,,,0.35,,,0.353425,,,2
Fife,ENV04c,2012-14,0.336,,,0.352,,,0.3564875,,,2
Fife,ENV04c,2013-15,0.373002407,,,0.361,,,0.361336825,,,2
Fife,ENV04c,2014-16,0.336229794,,,0.348,,,0.359126897,,,2
Fife,ENV04c,2015-17,0.330852996,,,0.347600513,,,0.360189545,,,2
Fife,ENV04c,2016-18,0.337760727,,,0.35895545,,,0.367257526,,,2
Fife,ENV04c,2017-19,0.348268424,,,0.357072157,,,0.36029751,,,2
Fife,ENV04c,2018-20,0.34094431,,,0.34956385,,,0.349656107,,,2
Fife,ENV04c,2019-21,0.334,,,0.34,,,0.333125,,,2
Fife,ENV04c,2020-22,0.348404481,,,0.336062479,,,0.302251998,,,2
Fife,ENV04c,2021-23,0.337332458,,,0.314854915,,,0.301750729,,,2
Fife,ENV04d,2009-11,0.316432236,,,0.35,,,0.39505053,,,2
Fife,ENV04d,2010-12,0.309524827,,,0.36,,,0.385251942,,,2
Fife,ENV04d,2011-13,0.288,,,0.348,,,0.3643125,,,2
Fife,ENV04d,2012-14,0.287,,,0.366,,,0.375425,,,2
Fife,ENV04d,2013-15,0.312877098,,,0.3735,,,0.386193962,,,2
Fife,ENV04d,2014-16,0.299279131,,,0.3474,,,0.367098446,,,2
Fife,ENV04d,2015-17,0.287386677,,,0.3457,,,0.362464553,,,2
Fife,ENV04d,2016-18,0.283460002,,,0.361599466,,,0.374522027,,,2
Fife,ENV04d,2017-19,0.312884763,,,0.362534816,,,0.373427913,,,2
Fife,ENV04d,2018-20,0.328279599,,,0.35139268,,,0.366384623,,,2
Fife,ENV04d,2019-21,0.319,,,0.336,,,0.342,,,2
Fife,ENV04d,2020-22,0.30138778,,,0.332432727,,,0.312457768,,,2
Fife,ENV04d,2021-23,0.282680461,,,0.327070961,,,0.317574191,,,2
Fife,ENV04e,2007-11,0.393427929,,,0.419,,,0.39216827,,,2
Fife,ENV04e,2008-12,0.385574944,,,0.383416073,,,0.386100646,,,2
Fife,ENV04e,2009-13,0.361,,,0.401,,,0.3929375,,,2
Fife,ENV04e,2010-14,0.344,,,0.394,,,0.390125,,,2
Fife,ENV04e,2011-15,0.346445529,,,0.393141015,,,0.382246164,,,2
Fife,ENV04e,2012-16,0.343975237,,,0.401361598,,,0.383694033,,,2
Fife,ENV04e,2013-17,0.346702858,,,0.395043418,,,0.383866735,,,2
Fife,ENV04e,2014-18,0.326462586,,,0.389887904,,,0.3778306,,,2
Fife,ENV04e,2015-19,0.315995384,,,0.382482549,,,0.377421768,,,2
Fife,ENV04e,2016-20,0.31955564,,,0.378305997,,,0.377743489,,,2
Fife,ENV04e,2017-21,0.328,,,0.383,,,0.38275,,,2
Fife,ENV04e,2018-22,0.350991639,,,0.3665008,,,0.368991862,,,2
Fife,ENV05,2010-11,26538.06,9686.923,365020,24335.41,127081.923,5222100,25544.4875,3698.740375,144341.25,2
Fife,ENV05,2011-12,19005.36,6982,367370,21910.25,115134,5254800,22532.07125,3131.875,144997.5,2
Fife,ENV05,2012-13,19777.73,7243,366220,21357.84,113487,5313600,20767.3725,2968.5,146491.25,2
Fife,ENV05,2013-14,19577.01,7183,366910,22884.17,121920,5327700,21284.14,3023.25,146730,2
Fife,ENV05,2014-15,19699.94,7235,367260,22272.05,119102,5347600,19545.82125,2848,146953.75,2
Fife,ENV05,2015-16,19669.64,7240,368080,22341.52,120041,5373000,19075.7025,2817.375,147498.75,2
Fife,ENV05,2016-17,20136.09,7457,370330,21377.32,115538,5404700,18873.295,2832.125,148185,2
Fife,ENV05,2017-18,21835.71,8110,371410,21388.07,116026,5424800,17613.81,2734.5,148442.5,2
Fife,ENV05,2018-19,21029.28,7821,371910,20759.46,112892,5438100,17631.07625,2698.875,148563.75,2
Fife,ENV05,2019-20,16313.75,6094,373550,19732.51,107804.6327,5463300,16411.9175,2405.375,148997.5,2
Fife,ENV05,2020-21,15096.36,5648,374130,18998.17,103844,5466000,16056.96375,2320,148965,2
Fife,ENV05,2021-22,15619.25,5853,374730,22170.11,121490,5479900,18239.6725,2607,149586.25,2
Fife,ENV05a,2012-13,7570,2774,366220,5120,27204,5313600,5902.5,906,146491.25,2
Fife,ENV05a,2013-14,7630,2798,366910,5610,29862,5327700,6632.5,982.375,146730,2
Fife,ENV05a,2014-15,7230,2654,367260,5590,29911,5347600,6121.25,914.875,146953.75,2
Fife,ENV05a,2015-16,7710,2839,368080,5740,30818,5373000,5378.75,848.875,147498.75,2
Fife,ENV05a,2016-17,8470,3135,370330,5490,29695,5404700,5111.25,846.5,148185,2
Fife,ENV05a,2017-18,9660,3588,371410,5890,31956,5424800,5478.75,926.375,148442.5,2
Fife,ENV05a,2018-19,7490,2787,371910,5890,32031,5438100,5207.5,823.5,148563.75,2
Fife,ENV05a,2019-20,7010,2617,373550,5950,32522.3456,5463300,4927.5,780.5,148997.5,2
Fife,ENV05a,2020-21,7220,2700,374130,5930,32401,5466000,5083.75,804,148965,2
Fife,ENV05a,2021-22,7490,2808,374730,5930,32501,5479900,5538.75,884.5,149586.25,2
Fife,ENV05b,2012-13,12203,4469,366220,16238.1,86283,5313600,14862.65,2062.5,146491.25,2
Fife,ENV05b,2013-14,11951.2,4385,366910,17279.1,92058,5327700,14651.4,2040.875,146730,2
Fife,ENV05b,2014-15,12473.5,4581,367260,16678.7,89191,5347600,13425.7875,1933.125,146953.75,2
Fife,ENV05b,2015-16,11956.6,4401,368080,16605.8,89223,5373000,13696.5875,1968.5,147498.75,2
Fife,ENV05b,2016-17,11670.7,4322,370330,15883,85843,5404700,13762.4375,1985.625,148185,2
Fife,ENV05b,2017-18,12175.2,4522,371410,15497.3,84070,5424800,12134.025,1808.125,148442.5,2
Fife,ENV05b,2018-19,13535.5,5034,371910,14869.3,80861,5438100,12421.0625,1875.375,148563.75,2
Fife,ENV05b,2019-20,9308,3477,373550,13779.6,75282.2871,5463300,11483.9625,1624.875,148997.5,2
Fife,ENV05b,2020-21,7879.6,2948,374130,13070.4,71443,5466000,10973.6625,1516,148965,2
Fife,ENV05b,2021-22,8125.9,3045,374730,16239.2,88989,5479900,12701.325,1722.5,149586.25,2
Fife,ENV06,2010-11,0.481354886,,,0.386914858,,,0.448620724,,,2
Fife,ENV06,2011-12,0.540464636,,,0.400885944,,,0.494160393,,,2
Fife,ENV06,2012-13,0.528146534,,,0.411496033,,,0.504937875,,,2
Fife,ENV06,2013-14,0.558759096,,,0.422019145,,,0.508126804,,,2
Fife,ENV06,2014-15,0.537,,,0.428,,,0.521625,,,2
Fife,ENV06,2015-16,0.522959455,,,0.442158836,,,0.53710802,,,2
Fife,ENV06,2016-17,0.546533915,,,0.451981333,,,0.541828097,,,2
Fife,ENV06,2017-18,0.54654087,,,0.456004586,,,0.550220993,,,2
Fife,ENV06,2018-19,0.511,,,0.447,,,0.533,,,2
Fife,ENV06,2019-20,0.44494769,,,0.448542043,,,0.541862571,,,2
Fife,ENV06,2020-21,0.436875608,,,0.42,,,0.496037667,,,2
Fife,ENV06,2021-22,0.436,,,0.427,,,0.514375,,,2
Fife,ENV07a,2010-14,0.79,,,0.823,,,0.850083333,,,2
Fife,ENV07a,2012-15,0.803333333,,,0.833333333,,,0.86125,,,2
Fife,ENV07a,2013-16,0.82,,,0.83,,,0.854583333,,,2
Fife,ENV07a,2014-17,0.83,,,0.816666667,,,0.83,,,2
Fife,ENV07a,2015-18,0.813333333,,,0.786666667,,,0.80875,,,2
Fife,ENV07a,2016-19,0.804333333,,,0.763,,,0.779708333,,,2
Fife,ENV07a,2017-20,0.797666667,,,0.743,,,0.758041667,,,2
Fife,ENV07a,2018-21,0.807666667,,,0.753,,,0.772625,,,2
Fife,ENV07a,2019-22,0.803333333,,,0.76,,,0.777083333,,,2
Fife,ENV07b,2010-14,0.779666667,,,0.741,,,0.752666667,,,3
Fife,ENV07b,2012-15,0.803333333,,,0.743333333,,,0.765416667,,,3
Fife,ENV07b,2013-16,0.823333333,,,0.736666667,,,0.76375,,,3
Fife,ENV07b,2014-17,0.816666667,,,0.723333333,,,0.74,,,3
Fife,ENV07b,2015-18,0.79,,,0.696666667,,,0.686666667,,,3
Fife,ENV07b,2016-19,0.748333333,,,0.663,,,0.640166667,,,3
Fife,ENV07b,2017-20,0.725,,,0.626333333,,,0.595166667,,,3
Fife,ENV07b,2018-21,0.701666667,,,0.599666667,,,0.5835,,,3
Fife,ENV07b,2019-22,0.693333333,,,0.586666667,,,0.591666667,,,3
Fife,FINSUS01,2013-14,0.121,,,0.1596,,,0.1381,,,2
Fife,FINSUS01,2014-15,0.132,,,0.1668,,,0.154525,,,2
Fife,FINSUS01,2015-16,0.084,,,0.1801,,,0.16255,,,2
Fife,FINSUS01,2016-17,0.091,,,0.1727,,,0.1561,,,2
Fife,FINSUS01,2017-18,0.09,,,0.1701,,,0.1530875,,,2
Fife,FINSUS01,2018-19,0.078,,,0.1657,,,0.1500375,,,2
Fife,FINSUS01,2019-20,0.084,,,0.1695,,,0.1504125,,,2
Fife,FINSUS01,2020-21,0.199,,,0.2366,,,0.2252,,,2
Fife,FINSUS01,2021-22,0.225,,,0.2444,,,0.235175,,,2
Fife,FINSUS02,2013-14,0.042,,,0.0369,,,0.0413375,,,2
Fife,FINSUS02,2014-15,0.043,,,0.0395,,,0.0526875,,,2
Fife,FINSUS02,2015-16,0.032,,,0.0406,,,0.0549125,,,2
Fife,FINSUS02,2016-17,0.042,,,0.0394,,,0.04595,,,2
Fife,FINSUS02,2017-18,0.025,,,0.0367,,,0.039175,,,2
Fife,FINSUS02,2018-19,0.018,,,0.0351,,,0.0319875,,,2
Fife,FINSUS02,2019-20,0.023,,,0.0363,,,0.0339875,,,2
Fife,FINSUS02,2020-21,0.054,,,0.0352,,,0.0386625,,,2
Fife,FINSUS02,2021-22,0.033,,,0.0348,,,0.0281375,,,2
Fife,FINSUS03,2013-14,0.0822,,,0.0842,,,0.08515,,,2
Fife,FINSUS03,2014-15,0.0805,,,0.0836,,,0.0806625,,,2
Fife,FINSUS03,2015-16,0.0815,,,0.0782,,,0.0824375,,,2
Fife,FINSUS03,2016-17,0.0887,,,0.0795,,,0.083475,,,2
Fife,FINSUS03,2017-18,0.0854,,,0.0803,,,0.08165,,,2
Fife,FINSUS03,2018-19,0.0837,,,0.0789,,,0.0794125,,,2
Fife,FINSUS03,2019-20,0.0779,,,0.0719,,,0.0759125,,,2
Fife,FINSUS03,2020-21,0.061,,,0.0624,,,0.065675,,,2
Fife,FINSUS03,2021-22,0.0639,,,0.0589,,,0.0625125,,,2
Fife,FINSUS04,2013-14,0.1302,,,0.2587,,,0.183585714,,,2
Fife,FINSUS04,2014-15,0.1347,,,0.2413,,,0.189171429,,,2
Fife,FINSUS04,2015-16,0.1612,,,0.2475,,,0.206828571,,,2
Fife,FINSUS04,2016-17,0.1848,,,0.2436,,,0.1980875,,,2
Fife,FINSUS04,2017-18,0.1918,,,0.2359,,,0.1886625,,,2
Fife,FINSUS04,2018-19,0.2023,,,0.2283,,,0.1941625,,,2
Fife,FINSUS04,2019-20,0.2154,,,0.2256,,,0.203775,,,2
Fife,FINSUS04,2020-21,0.22,,,0.2291,,,0.2012125,,,2
Fife,FINSUS04,2021-22,0.2204,,,0.2212,,,0.203,,,2
Fife,FINSUS05,2013-14,0.9914,749495,755970,0.9908,11664782,11773637,0.978775,307541,313627.25,2
Fife,FINSUS05,2014-15,0.988,768498,777804,0.99,11728142.95,11846333.04,0.975775,311927.375,318990.125,2
Fife,FINSUS05,2015-16,0.9896,819353,827955,0.9896,11946960.91,12072520.05,0.98325,327612.375,333081.5,2
Fife,FINSUS05,2016-17,0.9857,768780,779902,0.9935,11829193,11906720,0.9916,315619.375,319027.875,2
Fife,FINSUS05,2017-18,0.9913,787326,794240,0.9926,11925676.7,12014538,0.9850875,321402.25,326424.25,2
Fife,FINSUS05,2018-19,1.0029,791468,789167,0.9939,12125603.55,12200185.38,0.991325,327062.875,329553,2
Fife,FINSUS05,2019-20,0.996,819239,822567,0.9935,12612014.57,12694498.43,0.9878,340938.25,344717,2
Fife,FINSUS05,2020-21,0.9198,835227,908079,0.9744,13450592,13804571,0.9381625,352717,377666.375,2
Fife,FINSUS05,2021-22,0.9364,868905,927879,0.9825,14108177,14358973,0.9609375,377582,394966.25,2
Fife,HSN01b,2013-14,0.0606,5817902,96008169,0.055815672,57319118,1026935914,0.058328571,2891847.143,49958639.57,3
Fife,HSN01b,2014-15,0.0593,5892258,99446971,0.059489804,62768083,1055106567,0.059128571,3016657.857,51243047.29,3
Fife,HSN01b,2015-16,0.0621,6353991,102358073,0.062485767,68047638,1089010210,0.059485714,3146364,52794104.43,3
Fife,HSN01b,2016-17,0.0755,7915147,104853041,0.064878716,72058742,1110668433,0.061114286,3393430.143,53994832.29,3
Fife,HSN01b,2017-18,0.082138087,8918945,108584767,0.067474647,76007085,1126453979,0.063236258,3606809.571,54942008.57,3
Fife,HSN01b,2018-19,0.09048228,10337754,114251697,0.073263897,85064829,1161074317,0.069257107,4161707.571,57006663.14,3
Fife,HSN01b,2019-20,0.077884507,9190763,118005022,0.073135629,88013149,1203423696,0.069925385,4179503.286,58972477.14,3
Fife,HSN01b,2020-21,0.069276859,8477991,122378398,0.081886479,101774964,1242878747,0.075572313,4647882.857,61110594.86,3
Fife,HSN01b,2021-22,0.059904869,7474867,124778955,0.086710008,110052636,1269203387,0.081245721,4941428.143,62405782.43,3
Fife,HSN01b,2022-23,0.080297879,10028148,124886835,0.095925088,124362377,1296453092,0.09169177,5793613.143,63761362.57,3
Fife,HSN02,2013-14,0.0162,1557738,96008169,0.012872804,13219545,1026935914,0.013242857,676862.4286,49958639.57,3
Fife,HSN02,2014-15,0.0174,1726511,99446971,0.011561642,12198764,1055106567,0.012685714,673480,51243047.29,3
Fife,HSN02,2015-16,0.015,1537213,102358073,0.010529306,11466522,1089010210,0.009985714,575425.1429,52794104.43,3
Fife,HSN02,2016-17,0.0095,998608,104853041,0.009290929,10319141,1110668433,0.009642857,472257.2857,53994832.29,3
Fife,HSN02,2017-18,0.009611486,1043661,108584767,0.008936339,10066375,1126453979,0.008457452,449594.8571,54942008.57,3
Fife,HSN02,2018-19,0.009776336,1116963,114251697,0.009527453,11062081,1161074317,0.009707197,519246.5714,57006663.14,3
Fife,HSN02,2019-20,0.010930662,1289873,118005022,0.010658114,12826227,1203423696,0.009507425,570870.8571,58972477.14,3
Fife,HSN02,2020-21,0.015336293,1876831,122378398,0.013790819,17140316,1242878747,0.011357717,700388.8571,61110594.86,3
Fife,HSN02,2021-22,0.014352276,1790862,124778955,0.016299412,20687269,1269203387,0.012572165,798830.2857,62405782.43,3
